ZIP,CBSA,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
66746,99999,HEPLER,KS,0.147727273,0.700000000,0.000000000,0.202020202
66748,99999,HUMBOLDT,KS,1.000000000,1.000000000,1.000000000,1.000000000
66749,99999,IOLA,KS,1.000000000,1.000000000,1.000000000,1.000000000
66751,99999,LA HARPE,KS,1.000000000,1.000000000,1.000000000,1.000000000
66753,37660,MC CUNE,KS,0.064285714,0.200000000,0.000000000,0.069609508
66753,38260,MC CUNE,KS,0.760714286,0.600000000,1.000000000,0.755517827
66753,99999,MC CUNE,KS,0.175000000,0.200000000,0.000000000,0.174872666
66754,99999,MAPLETON,KS,0.958955224,1.000000000,1.000000000,0.960144928
66754,28140,MAPLETON,KS,0.041044776,0.000000000,0.000000000,0.039855072
66755,99999,MORAN,KS,1.000000000,1.000000000,1.000000000,1.000000000
66756,38260,MULBERRY,KS,1.000000000,1.000000000,1.000000000,1.000000000
66757,99999,NEODESHA,KS,0.891839691,1.000000000,0.972222222,0.901445466
66757,17700,NEODESHA,KS,0.108160309,0.000000000,0.027777778,0.098554534
66758,99999,NEOSHO FALLS,KS,1.000000000,1.000000000,1.000000000,1.000000000
66760,38260,OPOLIS,KS,0.000000000,0.000000000,1.000000000,1.000000000
66761,99999,PIQUA,KS,1.000000000,1.000000000,1.000000000,1.000000000
66762,99999,PITTSBURG,KS,0.011085777,0.006405694,0.000000000,0.010247302
66762,38260,PITTSBURG,KS,0.988914223,0.993594306,1.000000000,0.989752698
66763,38260,FRONTENAC,KS,1.000000000,1.000000000,1.000000000,1.000000000
66767,28140,PRESCOTT,KS,1.000000000,1.000000000,1.000000000,1.000000000
66769,99999,REDFIELD,KS,1.000000000,1.000000000,1.000000000,1.000000000
66770,99999,RIVERTON,KS,1.000000000,1.000000000,1.000000000,1.000000000
66771,99999,SAINT PAUL,KS,1.000000000,1.000000000,1.000000000,1.000000000
66772,99999,SAVONBURG,KS,1.000000000,1.000000000,1.000000000,1.000000000
66773,99999,SCAMMON,KS,1.000000000,1.000000000,1.000000000,1.000000000
66775,99999,STARK,KS,1.000000000,1.000000000,1.000000000,1.000000000
66776,37660,THAYER,KS,0.041095890,0.000000000,0.000000000,0.039735099
66776,99999,THAYER,KS,0.958904110,1.000000000,1.000000000,0.960264901
66777,99999,TORONTO,KS,1.000000000,1.000000000,1.000000000,1.000000000
66778,99999,TREECE,KS,0.000000000,1.000000000,0.000000000,1.000000000
66779,99999,UNIONTOWN,KS,1.000000000,1.000000000,1.000000000,1.000000000
66780,38260,WALNUT,KS,0.718954248,0.625000000,1.000000000,0.718354430
66780,99999,WALNUT,KS,0.281045752,0.375000000,0.000000000,0.281645570
66781,99999,WEIR,KS,0.968796434,0.636363636,1.000000000,0.963556851
